Cohort,Name,Grade,Empathy_Skills,Advocacy_Skills,Purpose,Number_of_Social_Impact_Classes,Number_of_sign_ups_on_Mobile_Serve,Students_reflection_on_empathy_beginning_of_year,Students_reflection_on_empathy_end_of_year,Empathy_Year_Delta,Students_reflection_on_advocacy_beginning_of_year,Students_reflection_on_advocacy_end_of_year,Advocacy_Year_Delta,Students_reflection_on_purpose_beginning_of_year,Students_reflection_on_purpose_end_of_year,Purpose_Delta,Teacher_feedback_on_the_above_areas_of_growth,Students_reflection_on_feeling_more_confident
2022,9,11,8,8,7,3,3,7,9,2,8,10,2,8,10,2,8,9
2022,10,11,8,9,8,4,4,9,9,0,10,12,2,8,10,2,11,10
2022,1,12,8,8,6,4,5,9,9,0,9,10,1,6,7,1,8,8
2022,2,12,10,10,10,5,5,10,10,0,10,11,1,10,10,0,11,10
2022,3,12,8,8,5,4,5,9,9,0,7,9,2,4,5,1,8,7
2022,4,12,8,9,8,5,5,8,10,2,10,12,2,9,9,0,9,10
2022,5,12,10,10,10,4,5,10,10,0,10,11,1,9,9,0,9,10
2022,6,12,8,8,8,5,5,8,9,1,9,10,1,9,9,0,10,9
2022,7,12,9,8,8,4,5,8,10,2,8,10,2,8,10,2,11,10
2022,8,12,7,7,5,5,5,6,7,1,8,9,1,6,8,2,7,8
2022,9,12,9,10,8,4,5,9,9,0,9,11,2,9,9,0,10,9
2022,10,12,9,10,9,5,5,10,10,0,11,12,1,10,10,0,11,10
2023,11,9,3,4,4,2,4,4,6,2,3,4,1,3,5,2,5,5
2023,12,9,4,3,4,3,5,4,6,2,3,5,2,5,7,2,5,6
2023,13,9,4,5,3,2,2,3,5,2,5,6,1,2,3,1,5,4
2023,14,9,3,3,4,2,5,3,5,2,2,3,1,3,5,2,4,4
2023,15,9,5,4,5,1,3,6,8,2,5,6,1,4,5,1,5,6
2023,16,9,4,3,5,2,4,3,5,2,4,6,2,6,7,1,7,6
2023,17,9,3,3,4,2,3,4,5,1,3,5,2,4,6,2,6,5
2023,18,9,2,3,2,2,3,1,2,1,3,4,1,3,5,2,3,3
2023,19,9,6,7,6,2,4,5,7,2,8,10,2,7,9,2,8,8
2023,20,9,2,1,3,2,5,1,3,2,0,1,1,4,6,2,3,3
2023,11,10,5,5,5,3,4,4,6,2,6,8,2,6,7,1,7,7
2023,12,10,5,5,6,3,5,5,7,2,4,6,2,5,6,1,7,6
2023,13,10,6,6,4,3,5,7,8,1,5,6,1,5,6,1,7,6
2023,14,10,5,4,5,2,5,4,6,2,3,5,2,4,5,1,4,5
2023,15,10,6,5,7,2,2,5,7,2,4,5,1,7,9,2,7,7
2023,16,10,6,4,7,2,5,6,8,2,5,6,1,7,9,2,8,7
2023,17,10,5,4,5,2,2,5,7,2,4,6,2,6,7,1,5,6
2023,18,10,3,5,3,3,5,3,5,2,5,6,1,4,6,2,4,5
2023,19,10,7,8,7,3,5,7,8,1,9,11,2,7,9,2,10,9
2023,20,10,3,2,5,3,5,3,5,2,3,5,2,6,8,2,6,6
2023,11,11,7,7,6,4,4,7,9,2,6,7,1,5,7,2,6,7
2023,12,11,7,6,7,4,5,6,8,2,5,7,2,6,8,2,6,7
2023,13,11,7,8,5,3,3,6,8,2,9,11,2,6,7,1,7,8
2023,14,11,7,6,6,3,3,8,9,1,5,6,1,6,7,1,6,7
2023,15,11,8,6,8,3,3,8,10,2,5,6,1,8,10,2,9,8
2023,16,11,7,6,8,4,4,6,8,2,6,7,1,9,9,0,8,8
2023,17,11,7,6,7,4,4,6,7,1,6,7,1,7,8,1,7,7
2023,18,11,4,6,5,4,4,4,5,1,7,8,1,4,5,1,5,6
2023,19,11,9,10,9,3,4,10,10,0,10,11,1,8,9,1,10,10
2023,20,11,4,3,7,4,4,4,6,2,4,5,1,6,8,2,6,6
2023,11,12,9,9,7,5,5,10,10,0,9,11,2,6,7,1,9,9
2023,12,12,8,7,9,5,5,8,10,2,6,8,2,9,9,0,8,9
2023,13,12,9,10,6,4,5,8,9,1,9,10,1,7,9,2,10,9
2023,14,12,8,8,7,4,4,9,9,0,7,9,2,6,7,1,9,8
2023,15,12,10,8,10,4,5,9,9,0,7,8,1,9,9,0,7,8
2023,16,12,8,7,9,5,5,9,9,0,8,9,1,10,10,0,10,9
2023,17,12,9,7,8,4,4,8,9,1,7,8,1,7,8,1,8,8
2023,18,12,6,7,7,5,5,6,7,1,7,9,2,8,10,2,7,8
2023,19,12,10,10,10,5,5,10,10,0,11,13,2,9,9,0,11,10
2023,20,12,6,4,9,4,5,6,7,1,4,5,1,9,9,0,7,7
2024,21,9,4,5,4,3,3,4,6,2,4,5,1,4,5,1,6,5
2024,22,9,4,3,4,3,5,5,6,1,4,5,1,3,5,2,5,5
2024,23,9,3,2,4,3,4,3,5,2,1,3,2,4,5,1,4,4
2024,24,9,5,6,5,2,4,5,7,2,5,6,1,5,6,1,6,6
2024,25,9,3,3,3,2,5,3,4,1,4,6,2,4,6,2,5,5
2024,26,9,2,1,2,3,3,2,4,2,1,3,2,1,3,2,3,3
2024,27,9,2,3,3,1,1,2,4,2,2,4,2,2,4,2,5,4
2024,28,9,4,5,5,1,5,3,5,2,6,8,2,5,6,1,6,6
2024,29,9,4,3,3,1,1,3,4,1,4,5,1,3,4,1,4,4
2024,30,9,3,4,2,1,1,4,6,2,3,5,2,1,2,1,4,4
2024,21,10,6,7,6,2,2,5,6,1,8,10,2,5,7,2,8,7
2024,22,10,5,4,5,2,4,4,6,2,5,6,1,5,7,2,5,6
2024,23,10,5,4,5,3,3,4,5,1,4,5,1,5,6,1,6,5
2024,24,10,7,8,6,3,3,6,7,1,7,9,2,5,6,1,6,7
2024,25,10,5,5,4,3,5,5,6,1,6,7,1,5,6,1,5,6
2024,26,10,4,3,3,2,5,4,6,2,4,6,2,4,6,2,5,6
2024,27,10,4,5,5,2,5,3,5,2,6,8,2,4,5,1,6,6
2024,28,10,6,6,7,3,4,5,6,1,6,8,2,8,9,1,8,7
2024,29,10,6,5,5,3,3,5,7,2,6,7,1,5,6,1,6,6
2024,30,10,5,5,3,2,3,4,5,1,4,5,1,3,5,2,5,5
2024,21,11,7,8,8,3,5,7,9,2,9,10,1,8,9,1,9,9
2024,22,11,6,6,6,3,4,7,8,1,7,8,1,7,9,2,9,8
2024,23,11,7,5,7,3,3,8,10,2,4,6,2,8,9,1,7,8
2024,24,11,8,10,7,4,4,9,9,0,10,12,2,6,7,1,8,9
2024,25,11,6,7,5,3,5,6,8,2,8,10,2,6,7,1,8,8
2024,26,11,6,4,5,3,5,6,7,1,4,6,2,5,6,1,6,6
2024,27,11,6,7,6,3,4,6,7,1,7,8,1,5,6,1,7,7
2024,28,11,8,7,8,3,4,7,9,2,6,8,2,9,9,0,7,8
2024,29,11,7,7,7,3,5,7,8,1,8,10,2,6,8,2,8,8
2024,30,11,6,7,4,3,3,7,8,1,6,7,1,4,6,2,7,7
2025,31,9,3,3,4,1,4,2,3,1,4,5,1,3,5,2,4,4
2025,32,9,5,4,6,3,5,6,7,1,3,4,1,5,7,2,5,6
2025,33,9,4,5,4,3,3,3,5,2,4,5,1,3,5,2,6,5
2025,34,9,4,5,3,2,4,4,5,1,6,8,2,3,5,2,6,6
2025,35,9,4,5,5,1,5,5,7,2,4,6,2,4,6,2,7,6
2025,36,9,2,1,1,2,4,2,4,2,1,2,1,0,1,1,2,2
2025,37,9,2,1,2,2,3,3,4,1,2,3,1,1,2,1,4,3
2025,38,9,4,4,3,2,2,4,5,1,4,5,1,4,5,1,6,5
2025,39,9,3,4,3,1,5,4,5,1,4,5,1,4,6,2,6,5
2025,40,9,4,3,3,1,3,4,6,2,4,5,1,3,5,2,5,5
2025,31,10,5,5,6,2,3,4,6,2,6,8,2,6,7,1,7,7
2025,32,10,7,6,7,2,5,6,8,2,5,7,2,8,9,1,8,8
2025,33,10,6,7,5,2,2,5,7,2,7,8,1,4,5,1,6,6
2025,34,10,5,6,5,3,3,4,5,1,5,7,2,5,6,1,6,6
2025,35,10,5,7,7,2,3,5,7,2,7,8,1,6,8,2,8,7
2025,36,10,4,3,3,3,3,5,6,1,4,6,2,2,3,1,6,5
2025,37,10,3,3,3,2,5,2,4,2,4,5,1,4,5,1,4,4
2025,38,10,6,6,5,3,4,5,7,2,6,8,2,5,7,2,6,7
2025,39,10,5,6,4,2,3,5,6,1,7,9,2,5,7,2,7,7
2025,40,10,6,4,5,2,5,6,8,2,5,7,2,4,6,2,7,7
2026,41,9,4,4,5,2,2,3,5,2,5,7,2,5,7,2,6,6
2026,42,9,4,5,5,3,5,3,4,1,5,6,1,6,8,2,6,6
2026,43,9,3,4,3,3,3,4,6,2,3,5,2,2,3,1,3,4
2026,44,9,3,3,3,1,5,3,4,1,3,5,2,3,4,1,4,4
2026,45,9,2,3,1,1,4,2,4,2,3,5,2,1,3,2,3,4
2026,46,9,4,5,4,1,3,4,5,1,5,6,1,3,4,1,5,5
2026,47,9,5,5,5,1,2,4,5,1,5,6,1,6,7,1,5,6
2026,48,9,5,5,6,2,4,6,7,1,4,6,2,6,7,1,6,6
2026,49,9,2,1,2,2,3,1,2,1,0,1,1,3,4,1,2,2
2026,50,9,3,4,2,1,5,2,3,1,4,5,1,2,4,2,4,4
