"","Student_ID","duration","service_categories","service_date","description","prompt_response","service_organization","Social_Impact_Board","Social_Impact_Program_Leader","Recurring_Programs","Social_Impact_Classes","Social_Impact_Clubs","result","Year_Month","Year","Month","Modified_Year"
"11",26133,40,"Designing a Solution",2023-08-02,"We worked with an organization known as IKS health  to partner with Prerana anti-trafficking a school created for children who’s parents are sex workers. We interviewed each student individually and created individual development plans for them and provided them to the organization. Additionally, we had a dance & singing workshop as well as research on aptitude testing.","Please Explain. Response: We understood the kids as teenagers ourselves and were thus able to aid them to make sure they graduated and didn’t drop out of school early.","Prerana Anti-Trafficking+ IKS Health",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"12",25030,4,"Empathy",2023-08-02,"child","Please Explain. Response: child","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"13",26095,3,"Real World Experience",2023-08-01,"I am starting a non-profit organization called JAFA to raise funds to support young athletes who want to excel in the sport they compete in, buy may not have money to do so.","Please Explain. Response: 80; I registered my NPO that raises funds to support young athletes, and got an EIN to start receiving large sums to give away. This helps me understand both business law and how to start a company.","Juinor Athlete Foundation of America",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"14",26095,3,"Designing a Solution",2023-08-02,"I am starting a non-profit organization dedicated to empowering young athletes in their respective sports by raising funds to support their growth, allowing them to purchase equipment and access coaching.","Please Explain. Response: I created an application interface and improved my website in order for applications to better understand our mission and start taking action.","Junior Athlete Foundation of America",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"15",25062,3,"Exploring Purpose",2023-08-02,"I helped train middle schoolers from across DFW ISD volleyball.","Please Explain. Response: 80","The Hockaday School",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"16",25062,6,"Empathy",2023-08-03,"I helped train students from across DFW ISD volleyball who had previously not had the opportunity to be introduced to the sport.","Please Explain. Response: 100","The Hockaday School",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"17",25030,4,"Designing a Solution",2023-08-03,"child","Please Explain. Response: child","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"18",26161,2,"Advocacy Skills",2023-08-03,NA,"Please Explain. Response: This time I went through new questions and quizzes the studnets on harder questions!","iEnglish Training School",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"19",26024,1.8,"Designing a Solution",2023-08-03,"I volunteered at FMSC to pack meals for kids in Ukraine.","Please Explain. Response: I helped pack meals for kids who are hungry.","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"20",26049,2,"Exploring Purpose",2023-08-03,"We packed food for Ukraine","Please Explain. Response: Packing food helped me explore my purpose","feed my starving children",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"21",26095,2,"Advocacy Skills",2023-08-04,"I am starting a NPO dedicated to empowering young athletes to excel and stay competitive in their sport by providing the financial freedom to do so.","Please Explain. Response: I created applications for leadership role candidates, and also completed filing for my organization’s tax exempt status.","Junior Athlete Foundation of America",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"22",25089,5,"Empathy",2023-08-04,NA,"Please Explain. Response: 70 for empathy. u hv to be patient and understanding w the kids","rays of light - dallas",NA,NA,NA,NA,NA,"70","2023-08",2023,8,2024
"23",26095,1.5,"Empathy",2023-08-05,"I am starting a NPO dedicated to empowering young athletes to excel and stay competitive in their sport by providing the financial freedom to do so.","Please Explain. Response: I explored empathy by starting outreach to potential volunteers at my non profit who would support my mission.","Junior Athlete Foundation of America",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"24",25052,3,"Empathy",2023-08-02,NA,"Please Explain. Response: see previous","Meals on Wheels - Dallas, TX",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"25",25052,15,"Empathy",2023-08-06,NA,"Please Explain. Response: see previous","spread the love",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"26",26031,153,"Real World Experience",2023-08-06,"I worked as a student in a leadership team for the nonprofit Pegasus media project, specifically under the Pegasus film festival. I researched, emailed, and help organize the largest student led festival throughout the entire school year.  The goal of Pegasus media project is to uplift emerging filmmakers, specifically with a focus on women, ALAANA, LGBTQIA+, veterans, and those with learning differences. Pegasus film festival works to highlight high school filmmakers achievements, which i helped to put on.","Please Explain. Response: 100; I learned how to talk to people and speak to business in an assertive manner, and how to design something that has an impact.","Pegasus Film Festival (Pegasus media project)",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"27",26024,1,"Empathy",2023-08-07,"I delivered food from Snap Kitchen to a community food pantry.","Please Explain. Response: Through taking the food to the food pantry, I understood how I can help better.","Snap Kitchen",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"28",26065,17,"Exploring Purpose",2023-08-07,NA,"Please Explain. Response: Demonstrating for Saturday morning ballet classes one hour each week (second half)","Dallas Ballet Center",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"29",26065,108,"Exploring Purpose",2023-08-07,NA,"Please Explain. Response: I was a Student Volunteer and assisted the staff in executing the Junior Cliburn competition. I helped with load-in and load-out, the Artist Lounge, and other various errands.","The Cliburn",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"30",26138,87.5,"Exploring Purpose",2023-08-04,"Week 1 Monday - Friday: Working with the Orange Camp (rising 6th graders).
Week 2 Monday: Challenge lab (assisting guests with building a teddy bear a prosthetic limb).
Week 2 Tuesday: Atrium (greeting guests).
Week 2 Wednesday: Science on the Spot Level 4 (assisting guests with drawing an animal from its fossil).
Week 2 Thursday: Science on the Spot Level 2 (LEGO self portrait).
Week 2 Friday: Bridge and urban planning presentations.

Workshop with Jacobs on Tuesdays and Thursdays.
3D Printing Workshop on Week 2 Tuesday.","Please Explain. Response: I was able to explore different opportunities that the Perot Museum provided, ranging from greeting guests to working with a classroom of kids. 100.","Perot Museum",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"31",25030,3.2,"Exploring Purpose",2023-08-08,"sorry i forgot to upload this yesterday","Please Explain. Response: busy","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"32",26137,2,"Designing a Solution",2023-08-08,NA,"Please Explain. Response: I worked at the food pantry and stocked it with food. I also worked with customers in the clothing closet to help them check out and find free clothes.","Network of Community Ministries",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"33",26128,2,"Designing a Solution",2023-08-08,"We packed food to be sent to another country for kids that are hungry.","Please Explain. Response: 95. This is because the food is being sent directly to kids that need it.","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"95","2023-08",2023,8,2024
"34",25030,3.2,"Designing a Solution",2023-08-08,NA,"Please Explain. Response: art","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"35",26131,9,"Real World Experience",2023-10-27,"This was a social impact semester class I took over the summer. I got to learn more about how the government works and I was able to research a problem and find a solution.","Please Explain. Response: I was able to learn more value how the real world works. From the 3 branches to different parties, our system is detailed and organized.","Hockaday Government Class",NA,NA,NA,NA,NA,"no_response","2023-10",2023,10,2024
"36",24020,1,"Designing a Solution",2023-08-09,"Made cat and dog toys","Please Explain. Response: Designed a solution to better the quality of life for animals in the shelter and followed through with it.","SPCA Dallas",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"37",25030,3.2,"Designing a Solution",2023-08-09,NA,"Please Explain. Response: design","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"38",24052,3,"Designing a Solution",2023-08-10,"Delivered meals to the elderly community","Please Explain. Response: Delivering meals to a community who struggles to provide meals for themselves","Meals on Wheels - Dallas, TX",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"39",26161,3,"Advocacy Skills",2023-08-10,"We filled bags with produce, oatmeal, and spaghetti and then filled them onto cars to later be handed out to those in need.","Please Explain. Response: We bagged ingredients for those in need, and learning the importance of helping others.","Lovers Lane United Methodist Church",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"40",26161,2,"Advocacy Skills",2023-08-01,NA,"Please Explain. Response: This time I did 4 sessions and I came up with new questions to ask the studnets and I could see their skills were already improving!","iEnglish Training School",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"41",25030,3.2,"Advocacy Skills",2023-08-10,NA,"Please Explain. Response: i literally talked to people all day","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"42",26028,6,"Empathy",2023-08-10,"i demonstrated empathy by creating snack bags for abused children. my family and i will drop these off with community partners of dallas.","Please Explain. Response: i demonstrated empathy by creating snack bags for abused children. my family and i will drop these off with community partners of dallas.","Community Partners of Dallas",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"43",24157,5,"Empathy",2023-08-03,"Interned.","Please Explain. Response: 80","brighter magazine",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"44",24157,5,"Real World Experience",2023-08-01,"Interned","Please Explain. Response: 80","brighter",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"45",24157,5,"Exploring Purpose",2023-08-08,"Interned.","Please Explain. Response: 80","brighter",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"46",24157,5,"Empathy",2023-08-10,"Interned.","Please Explain. Response: 80","brighter",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"47",24086,100,"Real World Experience",2023-08-11,"100","Please Explain. Response: wrote articles for the magazine, learned how to run an experienced non profit","Brighter Magazine",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"48",26024,1.8,"Designing a Solution",2023-08-11,"I packed bags at FMSC to feed kids.","Please Explain. Response: Through packing, we helped kids who are hungry.","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"49",24114,46.5,"Exploring Purpose",2023-08-12,"Over this summer, I volunteered at the Light and Salt Academy summer camp teaching refugee students how to read and pronounce English. I mainly worked with pre-k, kindergarten, and 1st graders and even aided the preparations and execution of the end-of-summer open house presentation. I will continue my service this school year.","Please Explain. Response: My service 100% contributed to my understanding of exploring purpose. My initial purpose was to help these refugee students gain confidence and knowledge of the English language so they don't fall behind in school. As I taught them every week, I began developing personal connections and became thoroughly invested in their learning journeys.","Light and Salt Academy",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"50",24114,70,"Advocacy Skills",2023-08-12,"This summer, I interned as a volunteer at Brighter Magazine, a nonprofit lifestyle magazine for women with cancer. I wrote articles for the magazine and helped with supporter outreach. I went into the office twice every week for 5 hours each day.","Please Explain. Response: I had great experience (90) of advocating for women with cancer. As someone with a history of cancer in my family, I found it especially empowering to be able to give back and be able to make a change in uplifting women with cancer and sharing some of their stories.","Brighter Magazine",NA,NA,NA,NA,NA,"90","2023-08",2023,8,2024
"51",25155,75,"Real World Experience",2023-08-12,NA,"Please Explain. Response: I spent my summer working in the surgery waiting rooms and hospital as a volunteer.","Texas Health Huguley",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"52",25105,4,"Designing a Solution",2023-08-14,NA,"Please Explain. Response: We packed meals for children in Haiti","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"53",25030,4,"Real World Experience",2023-08-14,NA,"Please Explain. Response: genuinely not sure","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"54",24122,2.5,"Advocacy Skills",2023-08-04,NA,"Please Explain. Response: I helped at my community center’s cafeteria where we served food to the seniors in the local area. Part of my job there was to manage the manage the check in screen where I helped guide some seniors through the process.","Catholic Charities Patty's Cafe",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"55",24122,3,"Real World Experience",2023-08-11,NA,"Please Explain. Response: 100, I was able to interact with the seniors in my local community and help serve them at the community center’s cafeteria","Catholic Charities Patty's Cafe",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"56",26161,1.3,"Exploring Purpose",2023-08-13,NA,"Please Explain. Response: This time i did three sessions and another with my sister for new students and returning students. We quizzed them on their knowledge of real world conversations and questions they would encounter in their IELTS test.","iEnglish Training School",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"57",26161,3,"Real World Experience",2023-08-14,NA,"Please Explain. Response: Today I served as a juror on the Plano teen court program. I listened to 5 cases today, and got to communicate with my jury in order to create an a mount of service hours for the defendant to complete.","plano teen court",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"58",26080,1.4,"Designing a Solution",2023-08-15,"85","Please Explain. Response: This helps many children receive meals that are vital to their survival i just wish we were able to do more for these kids to provide them more joy.","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"85","2023-08",2023,8,2024
"59",25167,1,"Empathy",2023-08-06,"I helped organize and set up bingo at the Emerson Retirement Home.","Please Explain. Response: 95, because all of the residents were so excited to see a new face. They enjoyed having someone help out and spend time with them.","Emerson Senior Living",NA,NA,NA,NA,NA,"95","2023-08",2023,8,2024
"60",26095,4,"Advocacy Skills",2023-08-15,"I am in the process of launching my athletics non-profit, dedicated to helping young athletes achieve their goals.","Please Explain. Response: I updated our website and recruited a team of chairs to expand into other sports.","Junior Athlete Foundation of America",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"61",26112,2,"Designing a Solution",2023-08-15,"We packed food bags for children in Africa who are malnourished.","Please Explain. Response: 85. Because we weren’t designing the solution but acting out the solution that Feed My Starving Children came up with, I didn’t say a higher score. I really like doing stuff like FMSC because I feel like I’m actually doing something and not just checking a box.","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"85","2023-08",2023,8,2024
"62",26112,4,"Empathy",2023-08-16,"We volunteered at the grocery store.","Please Explain. Response: 100. It really put into perspective for me how lucky I am to live in a food secure home. It made me feel really grateful for my life and everything I have.","Brother Bill's Helping Hand",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"63",25030,3.2,"Designing a Solution",2023-08-16,NA,"Please Explain. Response: ah","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"64",25030,3.2,"Advocacy Skills",2023-08-17,NA,"Please Explain. Response: child","Perot Museum",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"65",25137,3,"Designing a Solution",2023-08-18,"Figuring out what to throw out and where things go","Please Explain. Response: See above","covenant school",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"66",25089,5,"Empathy",2023-08-18,NA,"Please Explain. Response: -","rays of light - dallas",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"67",25089,2.5,"Exploring Purpose",2023-08-19,NA,"Please Explain. Response: helping to setup math competition","CIE",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"68",26095,1,"Real World Experience",2023-08-20,"I am starting a non profit dedicated to helping athletes achieve their goals through financial freedom.","Please Explain. Response: I recruited members and organized meetings with my team and members.","Junior Athlete Foundation of America",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"69",26128,2,"Designing a Solution",2023-08-20,"I made and packed sandwiches, chips, and oranges.","Please Explain. Response: The meals I packed will be distributed to people today. By giving the sandwiches out tonight, people that struggle with hunger will have at least  one meal today.","Tango Tab",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"70",27059,1,"Real World Experience",2023-08-21,"Worked to clean a park","Please Explain. Response: I got to experience using the park before and after cleaning, so I understood the difference I made",NA,NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"71",27140,2,"Designing a Solution",2023-08-21,"I packed food to be shipped to different countries around the world, who in many cases don’t have enough food, and in many cases don’t know when their next meal will be.","Please Explain. Response: I got to understand that not everyone is as fortunate as I am, and that many things I have in my life I don’t appreciate or need as many things as I have","Feed My Starving Children",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"72",27099,1.8,"Empathy",2023-08-21,"80","Please Explain. Response: We watched a video of the man who started a partner organization who was talking about how the only square meal he got in a day came from school, and how that is the reason he stayed in school. It made me realize that having food on the table isn’t a given, and that having food allows people to live to their full potential.","Feed My Starving Children - Richardson, TX",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"73",27022,10,"Real World Experience",2023-08-21,NA,"Please Explain. Response: I think it contributed greatly especially because i went to so many parties and participated in different kinds of social impact opportunities! (I’m not sure what it would be in a scale)","The Birthday Party Project",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"74",27036,5,"Empathy",2023-08-21,"My mom and I delivered meals to the elderly","Please Explain. Response: This helped me to develop empathy for people who can't access food as easily. I also got to see and hear these people talk about themselves and their lives when delivering!","Meals On Wheels",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"75",27037,2,"Designing a Solution",2023-08-21,"I built a chair for charity","Please Explain. Response: There were a limited amount of chairs at a camp so me and some friends designed a solution, and built chairs for the camp.",NA,NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"76",27028,143,"Designing a Solution",2023-08-21,"I volunteered at the summer at Hockaday program this summer","Please Explain. Response: I worked with many kids and learned how to design a solution for their problems. I also used empathy towards the children.",NA,NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"77",27050,137,"Exploring Purpose",2023-08-21,"For 4 weeks I worked at Summer at Hockaday, a summer camp for children. Throughout this experience of being a counselor in training, I found purpose in working with young children. I found purpose of working with and guiding young children. I want to be the best role model I can be.","Please Explain. Response: I explored purpose because I found that I had role models when I was younger and I want to be a role model and a teacher for the youth. I discovered that I have a passion for working with children through my weeks of volunteering.","Summer at Hockaday",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"78",25109,145.5,"Real World Experience",2023-08-21,NA,"Please Explain. Response: I experienced what it is like to be a leader as I volunteered as an assistant counselor at Chinese Youth Camp in leading children to perform in various activities of the Chinese culture.","Dallas Chinese Community Center",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"79",27066,141,"Real World Experience",2023-08-21,"I was a Counselor in Training during the Summer at Hockaday camps. I loved spending time with 4-12 year-old kids, whether it was helping out with a science camp or Kaleidoscope. The most useful thing I learned was to treat everyone with respect and kindness and keep a smile on your face, especially through chaos.","Please Explain. Response: Being a CIT for four weeks gave me a better understanding of all five tenets because I had to use so many of these skills every day. I was constantly empathizing with both children and adults, designing quick solutions when things didn’t go according to plan, and exploring purpose as I knew what I was doing made a difference to the kids’ lives.","CIT for Summer at Hockaday",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"80",24103,10,"Exploring Purpose",2023-08-04,"I volunteered at the Middle School camp and helped the coaches run it!","Please Explain. Response: 90% - because I feel it allowed me to see how volleyball can impact little kids’ lives in many different ways","Hockaday Volleyball Middle Schooler Camp",NA,NA,NA,NA,NA,"90","2023-08",2023,8,2024
"81",24007,5,"Exploring Purpose",2023-08-22,"I worked at the face painting station at the T. R. Hoover Back to School Fair. I got to see all of the kids I’ve built relationships with again","Please Explain. Response: My purpose is to work with kids and this helped me further explore how I can help them","Visions for Confidence",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"82",24039,35,"Designing a Solution",2023-08-22,"Spent my summer building and expanding V4C through chapters, Advocacy, and local programs.","Please Explain. Response: Exploring purpose","Visionsforconfidence",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"83",24141,10,"Real World Experience",2023-08-22,"100","Please Explain. Response: I volunteered at the littles volleyball camp this summer!","Hockaday Volleyball",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"84",27010,2,"Real World Experience",2023-08-22,"we had an assembly which helped us gain empathy and a rl view","Please Explain. Response: we had an assembly for social impact","real world",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"85",27018,2,"Empathy",2023-08-22,"Learned more about poverty in Dallas. Specifically DISD and impoverished parts of Dallas with food deserts.","Please Explain. Response: I didnt know what it was like to live under the line of poverty especially having a family. Seeing all the statistics opened my eyes to just how blessed I am and how at need parts of Dallas are.","The Hockaday School",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"86",27009,2,"Empathy",2023-08-22,NA,"Please Explain. Response: 50 I think that we received a lot more information than actually helping people in our community.","Social Impact Fellows",NA,NA,NA,NA,NA,"50","2023-08",2023,8,2024
"87",27063,2,"Empathy",2023-08-22,"80","Please Explain. Response: we learned about different neighborhoods and what people go through with low income, which helped me empathize with those
people.","Social Impact Fellows",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"88",27022,2,"Empathy",2023-08-22,"I got to learn so much about my community and understand other peoples lives even more.","Please Explain. Response: I got to learn so much about my community and understand other peoples lives even more.","Social Impact Fellows",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"89",27059,2,"Empathy",2023-08-22,NA,"Please Explain. Response: I learned more about my community, and understood a broader perspective","hockaday",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"90",27122,2,"Empathy",2023-08-22,"We learned about Dallas and history","Please Explain. Response: I would say it helped me with Real World Experience showing how many people in Dallas.","Social Impact Fellows",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"91",27043,2,"Real World Experience",2023-08-22,NA,"Please Explain. Response: Social Impact Assembly 75","Social Impact Fellows",NA,NA,NA,NA,NA,"75","2023-08",2023,8,2024
"92",27158,2,"Exploring Purpose",2023-08-22,"Social Impact Explanation","Please Explain. Response: 100","social impact fellows",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"93",27017,2,"Designing a Solution",2023-08-22,"We learned about poverty in Dallas and how to improve it.","Please Explain. Response: 80, we learned about poverty rates, and how to fix it.","Social Impact Fellows",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"94",27037,2,"Empathy",2023-08-22,"We learned about gentrification and poverty in dallas","Please Explain. Response: 79. It’s easier for me to be empathetic about people below the poverty line especially because they’re apart of the dallas community.","Social impact fellows",NA,NA,NA,NA,NA,"79","2023-08",2023,8,2024
"95",27033,2,"Empathy",2023-08-22,"We had a eye opening assembly about the food and poverty conditions in the Dallas area","Please Explain. Response: I think this helps us explore empathy for other people who lived in difficult conditions","social impact fellows",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"96",27062,2,"Empathy",2023-08-22,"In an assembly setting, we learned about the people in South and West Dallas who are living under the poverty line, and how a minimum wage job could not be enough to support a household with 4 people, just getting the basics.","Please Explain. Response: 85","Social Impact Fellows",NA,NA,NA,NA,NA,"85","2023-08",2023,8,2024
"97",27039,2,"Empathy",2023-08-22,"I learned about my community and a little bit more of what I can do to help, but also about how I am able to put my self in peoples shoes who live in Dallas.","Please Explain. Response: 100. The assembly used all of my time in an efficient way to help me express empathy for my community.","Social Impact Fellows",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"98",27029,2,"Empathy",2023-08-22,"We learned about the neighborhoods in the Dallas area and how disadvantaged many people are in our own city","Please Explain. Response: I gained more empathy for less privileged people living in Dallas, and came to understand their struggles more.","Social impact Fellows",NA,NA,NA,NA,NA,"no_response","2023-08",2023,8,2024
"99",27097,2,"Exploring Purpose",2023-08-22,"This helps me explore purpose because it reminds me that it’s necessary, especially in my home community. It helps me explore ways I can contribute to the world I live in and help others who might not be more disadvantaged.","Please Explain. Response: 1. 75
2. 10
3. 80
4. 90
5. 40","Social Impact Fellows",NA,NA,NA,NA,NA,"75","2023-08",2023,8,2024
"100",27055,2,"Real World Experience",2023-08-22,"80","Please Explain. Response: I was able to understand more about Dallas and the people who live here. I learned about struggles in certain groups and different identities.","Social Impact Fellows",NA,NA,NA,NA,NA,"80","2023-08",2023,8,2024
"101",27086,2,"Empathy",2023-08-22,NA,"Please Explain. Response: 70 because we learned about people who lived below the poverty line and do not have as many opportunities as us.","Hockaday Social Impact Fellows",NA,NA,NA,NA,NA,"70","2023-08",2023,8,2024
"102",27143,2,"Empathy",2023-08-22,"Learning about how fortunate I am compared to many other residents of Dallas has helped me build empathy.","Please Explain. Response: 100 for empathy","Social Impact Fellows",NA,NA,NA,NA,NA,"100","2023-08",2023,8,2024
"103",27140,2,"Empathy",2023-08-22,"68","Please Explain. Response: I got to learn about how lucky I am for certain things in my life and to never take anything for grantef","social impact fellows",NA,NA,NA,NA,NA,"68","2023-08",2023,8,2024
"104",27077,2,"Empathy",2023-08-22,"We had long talks about the different communities that are disadvantaged and how we can help them in the future.","Please Explain. Response: I would rate it a 85.9 because I think I gained a lot of insight on the different communities of Dallas and now I have more empathy for those who are struggling.","social impact fellows",NA,NA,NA,NA,NA,"85","2023-08",2023,8,2024
"105",27053,2,"Empathy",2023-08-22,"We attended two social impact assemblies which went in depth about the history of Dallas and how and where we can serve our community.","Please Explain. Response: 90. This contributed 90% to empathy because it gave me a better understanding of the needs and demographics of our community.","social impact fellows",NA,NA,NA,NA,NA,"90","2023-08",2023,8,2024
